exercise,sets,reps,weight,date,rpe,rir,logged_at,actual_next_weight
Seated Cable Row (close Grip),3,10,190.0,2016-02-15,,,2016-02-15T15:25:09,150.0
Seated Row,3,10,190.0,2016-02-15,,,2016-02-15T15:25:09,150.0
Squat,4,8,275.0,2016-02-15,,,2016-02-15T18:39:10,315.0
Squat (Barbell),4,8,275.0,2016-02-15,,,2016-02-15T18:39:10,315.0
Incline Bench Press,3,8,235.0,2016-02-16,,,2016-02-16T18:39:10,235.0
Incline Bench Press (Barbell),3,8,235.0,2016-02-16,,,2016-02-16T18:39:10,235.0
Weighted dips,6,8,115.0,2016-02-16,,,2016-02-16T18:39:10,45.0
Lateral Raise,2,12,50.0,2016-02-23,,,2016-02-23T13:32:12,50.0
Lateral Raise (Dumbbells),2,12,50.0,2016-02-23,,,2016-02-23T13:32:12,50.0
Seated Military Press,2,8,195.0,2016-02-23,,,2016-02-23T13:32:12,175.0
Seated Shoulder  Press (Barbell),2,8,195.0,2016-02-23,,,2016-02-23T13:32:12,175.0
Weighted dips,6,10,45.0,2016-02-23,,,2016-02-23T13:32:12,90.0
Squat,3,8,315.0,2016-02-23,,,2016-02-23T21:04:09,315.0
Squat (Barbell),3,8,315.0,2016-02-23,,,2016-02-23T21:04:09,315.0
Incline Bench Press,3,8,235.0,2016-02-28,,,2016-02-28T14:04:22,245.0
Incline Bench Press (Barbell),3,8,235.0,2016-02-28,,,2016-02-28T14:04:22,245.0
Lateral Raise,3,10,50.0,2016-02-28,,,2016-02-28T14:04:22,70.0
Lateral Raise (Dumbbells),3,10,50.0,2016-02-28,,,2016-02-28T14:04:22,70.0
Seated Military Press,3,10,175.0,2016-02-28,,,2016-02-28T14:04:22,210.0
Seated Shoulder  Press (Barbell),3,10,175.0,2016-02-28,,,2016-02-28T14:04:22,210.0
Bicep Curl (Barbell),3,10,95.0,2016-02-28,,,2016-02-28T19:32:44,95.0
