exercise,sets,reps,weight,date,rpe,rir,logged_at
Bench Press (Barbell),1,5,290.0,2017-03-27,,,2017-03-27T20:43:26
Incline Bench Press (Barbell),3,8,237.5,2017-03-27,,,2017-03-27T20:43:26
Lateral Raise (Dumbbells),2,13,60.0,2017-03-27,,,2017-03-27T20:43:26
Squat (Barbell),2,6,330.0,2017-04-02,,,2017-04-02T10:30:48
Incline Bench Press (Barbell),2,9,225.0,2017-04-05,,,2017-04-05T00:38:48
Overhead Press (Dumbbell),2,8,90.0,2017-04-05,,,2017-04-05T00:38:48
Incline Bench Press (Barbell),3,8,235.0,2017-04-07,,,2017-04-07T12:16:04
Bicep Curl (Barbell),2,10,95.0,2017-04-09,,,2017-04-09T19:16:18
Chin Up,4,10,50.0,2017-04-09,,,2017-04-09T19:16:18
Hammer seated row (CLOSE GRIP),2,12,230.0,2017-04-09,,,2017-04-09T19:16:18
Lat Pulldown,2,10,170.0,2017-04-09,,,2017-04-09T19:16:18
Rear delt fly,3,12,85.0,2017-04-09,,,2017-04-09T19:16:18
Bench Press (Barbell),1,7,280.0,2017-04-12,,,2017-04-12T22:01:51
Seated Shoulder  Press (Barbell),2,8,225.0,2017-04-12,,,2017-04-12T22:01:51
Chin Up,3,10,60.0,2017-04-13,,,2017-04-13T15:14:59
Hammer seated row (CLOSE GRIP),4,10,250.0,2017-04-13,,,2017-04-13T15:14:59
Incline Bench Press (Barbell),2,8,237.5,2017-04-16,,,2017-04-16T15:15:15
Weighted dips,2,10,105.0,2017-04-16,,,2017-04-16T15:15:15
Leg curl,2,12,145.0,2017-04-18,,,2017-04-18T08:30:12
Leg press (hinge ),2,10,360.0,2017-04-18,,,2017-04-18T08:30:12
Squat (Barbell),2,6,335.0,2017-04-18,,,2017-04-18T08:30:12
Seated Shoulder  Press (Barbell),3,8,225.0,2017-04-21,,,2017-04-21T11:51:57
Weighted dips,3,10,105.0,2017-04-21,,,2017-04-21T11:51:57
Leg curl,3,10,145.0,2017-04-23,,,2017-04-23T16:23:07
Squat (Barbell),2,8,295.0,2017-04-23,,,2017-04-23T16:23:07
Bench Press (Barbell),2,8,255.0,2017-04-27,,,2017-04-27T12:29:06
Incline Bench Press (Barbell),2,8,240.0,2017-04-27,,,2017-04-27T12:29:06
Seated Shoulder  Press (Barbell),3,10,205.0,2017-05-03,,,2017-05-03T20:07:57
Weighted dips,3,10,70.0,2017-05-03,,,2017-05-03T20:07:57
Chin Up,5,12,0.0,2017-05-04,,,2017-05-04T15:26:50
Seated Cable Row (close Grip),2,10,210.0,2017-05-04,,,2017-05-04T15:26:50
Leg outward fly,3,12,120.0,2017-05-06,,,2017-05-06T11:41:46
Romanian Deadlift (Barbell),2,8,185.0,2017-05-06,,,2017-05-06T11:41:46
Squat (Barbell),2,7,275.0,2017-05-06,,,2017-05-06T11:41:46
Incline Bench Press (Barbell),2,8,235.0,2017-05-07,,,2017-05-07T12:55:29
Incline Press (Dumbbell),2,11,180.0,2017-05-07,,,2017-05-07T12:55:29
Lateral Raise (Dumbbells),2,15,20.0,2017-05-07,,,2017-05-07T12:55:29
Skullcrusher (Barbell),2,10,85.0,2017-05-07,,,2017-05-07T12:55:29
Weighted dips,2,10,0.0,2017-05-07,,,2017-05-07T12:55:29
Good Morning (Barbell),2,8,205.0,2017-05-10,,,2017-05-10T21:21:37
Leg outward fly,3,12,120.0,2017-05-10,,,2017-05-10T21:21:37
Squat (Barbell),2,6,135.0,2017-05-10,,,2017-05-10T21:21:37
Lateral Raise (Dumbbells),3,12,50.0,2017-05-12,,,2017-05-12T10:54:08
Seated Shoulder  Press (Barbell),3,8,225.0,2017-05-12,,,2017-05-12T10:54:08
Weighted dips,4,10,105.0,2017-05-12,,,2017-05-12T10:54:08
Bent Over Row (Dumbbell),3,10,180.0,2017-05-14,,,2017-05-14T11:20:36
Bicep Curl (Barbell),1,10,65.0,2017-05-14,,,2017-05-14T11:20:36
Chin Up,3,10,35.0,2017-05-14,,,2017-05-14T11:20:36
Seated Cable Row (close Grip),3,12,180.0,2017-05-14,,,2017-05-14T11:20:36
Squat (Barbell),2,7,315.0,2017-05-15,,,2017-05-15T18:02:56
Bench Press (Barbell),1,7,280.0,2017-05-16,,,2017-05-16T22:54:45
Incline Bench Press (Barbell),3,8,235.0,2017-05-16,,,2017-05-16T22:54:45
Weighted dips,1,6,45.0,2017-05-16,,,2017-05-16T22:54:45
Lateral Raise (Dumbbells),4,10,40.0,2017-05-21,,,2017-05-21T12:14:15
Seated Shoulder  Press (Barbell),6,8,225.0,2017-05-21,,,2017-05-21T12:14:15
Shoulder Press (Standing),4,10,70.0,2017-05-21,,,2017-05-21T12:14:15
Weighted dips,4,8,115.0,2017-05-21,,,2017-05-21T12:14:15
Bent Over Row (Dumbbell),4,12,100.0,2017-05-23,,,2017-05-23T21:03:11
Chin Up,3,12,40.0,2017-05-23,,,2017-05-23T21:03:11
Hammer Curl (Dumbbell ),1,10,60.0,2017-05-23,,,2017-05-23T21:03:11
Pull Up,1,8,0.0,2017-05-23,,,2017-05-23T21:03:11
Leg outward fly,2,10,140.0,2017-05-30,,,2017-05-30T21:15:03
Romanian Deadlift (Barbell),3,6,225.0,2017-05-30,,,2017-05-30T21:15:03
Squat (Barbell),2,6,320.0,2017-05-30,,,2017-05-30T21:15:03
Seated Shoulder  Press (Barbell),3,8,225.0,2017-05-31,,,2017-05-31T19:40:23
Weighted dips,3,10,115.0,2017-05-31,,,2017-05-31T19:40:23
Deadlift (Barbell),2,6,235.0,2017-06-03,,,2017-06-03T13:21:47
Romanian Deadlift (Barbell),2,8,235.0,2017-06-03,,,2017-06-03T13:21:47
Squat (Barbell),2,8,245.0,2017-06-03,,,2017-06-03T13:21:47
Incline Bench Press (Barbell),2,8,230.0,2017-06-04,,,2017-06-04T00:50:32
Incline Press (Dumbbell),2,9,190.0,2017-06-04,,,2017-06-04T00:50:32
Shoulder Press (Standing),2,10,85.0,2017-06-04,,,2017-06-04T00:50:32
Bicep Curl (Barbell),2,10,80.0,2017-06-05,,,2017-06-05T19:50:48
Chin Up,3,10,60.0,2017-06-05,,,2017-06-05T19:50:48
Hammer seated row (CLOSE GRIP),2,8,210.0,2017-06-05,,,2017-06-05T19:50:48
Lat Pulldown (Cable),1,10,140.0,2017-06-05,,,2017-06-05T19:50:48
Bicep Curl (Barbell),1,10,95.0,2017-07-17,,,2017-07-17T13:29:23
Chin Up,3,10,50.0,2017-07-17,,,2017-07-17T13:29:23
Seated Cable Row (close Grip),3,10,170.0,2017-07-17,,,2017-07-17T13:29:23
Incline Bench Press (Barbell),2,5,185.0,2017-07-20,,,2017-07-20T21:58:46
Incline Press (Dumbbell),3,10,180.0,2017-07-20,,,2017-07-20T21:58:46
Rope Never Ending,1,0,450.0,2017-07-20,,,2017-07-20T21:58:46
Lateral Raise (Dumbbells),2,12,40.0,2017-07-24,,,2017-07-24T12:48:01
Rope Never Ending,1,5,1000.0,2017-07-24,,,2017-07-24T12:48:01
Seated Shoulder  Press (Barbell),3,8,230.0,2017-07-24,,,2017-07-24T12:48:01
Shoulder Press (Standing),1,10,75.0,2017-07-24,,,2017-07-24T12:48:01
Weighted dips,3,10,110.0,2017-07-24,,,2017-07-24T12:48:01
Incline Bench Press (Barbell),2,9,230.0,2017-07-28,,,2017-07-28T22:34:27
Lateral Raise (Dumbbells),2,15,40.0,2017-07-28,,,2017-07-28T22:34:27
Rope Never Ending,1,5,1100.0,2017-07-28,,,2017-07-28T22:34:27
Shoulder Press (Standing),2,10,90.0,2017-07-28,,,2017-07-28T22:34:27
Weighted dips,3,12,72.0,2017-07-28,,,2017-07-28T22:34:27
Bent Over Row (Dumbbell),3,10,90.0,2017-07-29,,,2017-07-29T20:19:26
Chin Up,3,9,50.0,2017-07-29,,,2017-07-29T20:19:26
Hammer Curl (Dumbbell ),2,10,70.0,2017-07-29,,,2017-07-29T20:19:26
Pull Up,2,10,0.0,2017-07-29,,,2017-07-29T20:19:26
Deadlift (Barbell),2,5,225.0,2017-07-30,,,2017-07-30T22:07:52
Leg curl,1,10,130.0,2017-07-30,,,2017-07-30T22:07:52
Leg outward fly,3,12,150.0,2017-07-30,,,2017-07-30T22:07:52
Squat (Barbell),1,6,345.0,2017-07-30,,,2017-07-30T22:07:52
Seated Shoulder  Press (Barbell),4,7,235.0,2017-08-01,,,2017-08-01T22:27:44
Shoulder Press (Standing),1,6,125.0,2017-08-01,,,2017-08-01T22:27:44
Weighted dips,4,8,123.2,2017-08-01,,,2017-08-01T22:27:44
Bicep Curl (Barbell),3,9,95.0,2017-08-02,,,2017-08-02T19:31:57
Chin Up,3,10,40.0,2017-08-02,,,2017-08-02T19:31:57
Face pull,1,10,90.0,2017-08-02,,,2017-08-02T19:31:57
Hammer seated row (CLOSE GRIP),2,12,200.0,2017-08-02,,,2017-08-02T19:31:57
Incline Bench Press (Barbell),2,5,255.0,2017-08-05,,,2017-08-05T14:59:00
Incline Press (Dumbbell),2,10,180.0,2017-08-05,,,2017-08-05T14:59:00
Leg press (hinge ),3,12,520.0,2017-08-06,,,2017-08-06T20:13:19
Squat (Barbell),2,5,345.0,2017-08-06,,,2017-08-06T20:13:19
Bicep Curl (Barbell),2,10,95.0,2017-08-07,,,2017-08-07T22:47:36
Chin Up,2,10,45.0,2017-08-07,,,2017-08-07T22:47:36
Neutral Chin,2,8,20.0,2017-08-07,,,2017-08-07T22:47:36
Rear delt fly,3,12,100.0,2017-08-07,,,2017-08-07T22:47:36
Seated Cable Row (close Grip),2,10,170.0,2017-08-07,,,2017-08-07T22:47:36
Seated Shoulder  Press (Barbell),2,8,240.0,2017-08-09,,,2017-08-09T21:16:36
Shoulder Press (Standing),2,6,135.0,2017-08-09,,,2017-08-09T21:16:36
Weighted dips,4,10,70.5,2017-08-09,,,2017-08-09T21:16:36
Deadlift (Barbell),1,5,345.0,2017-08-11,,,2017-08-11T23:16:08
Leg outward fly,3,12,150.0,2017-08-11,,,2017-08-11T23:16:08
Leg press (hinge ),2,12,360.0,2017-08-11,,,2017-08-11T23:16:08
Squat (Barbell),2,6,355.0,2017-08-11,,,2017-08-11T23:16:08
Bent Over Row (Dumbbell),1,10,90.0,2017-08-13,,,2017-08-13T14:23:34
Bicep Curl (Barbell),3,8,100.0,2017-08-13,,,2017-08-13T14:23:34
Chin Up,3,8,50.0,2017-08-13,,,2017-08-13T14:23:34
Face pull,3,10,100.0,2017-08-13,,,2017-08-13T14:23:34
Pull Up,1,8,10.0,2017-08-13,,,2017-08-13T14:23:34
Seated Cable Row (close Grip),2,10,180.0,2017-08-13,,,2017-08-13T14:23:34
Incline Bench Press (Barbell),4,5,257.5,2017-08-14,,,2017-08-14T11:07:27
Incline Press (Dumbbell),4,10,180.0,2017-08-14,,,2017-08-14T11:07:27
Weighted dips,4,12,0.0,2017-08-14,,,2017-08-14T11:07:27
Chin Up,4,8,50.0,2017-08-17,,,2017-08-17T23:57:04
Seated Cable Row (close Grip),3,8,190.0,2017-08-17,,,2017-08-17T23:57:04
Seated Shoulder  Press (Barbell),3,6,240.0,2017-08-18,,,2017-08-18T21:20:37
Weighted dips,2,10,107.0,2017-08-18,,,2017-08-18T21:20:37
Deadlift (Barbell),2,5,375.0,2017-08-19,,,2017-08-19T16:49:58
Squat (Barbell),3,6,280.0,2017-08-19,,,2017-08-19T16:49:58
Bent Over Row (Dumbbell),1,10,95.0,2017-08-21,,,2017-08-21T19:15:32
Chin Up,3,9,52.5,2017-08-21,,,2017-08-21T19:15:32
Pull Up,2,10,12.5,2017-08-21,,,2017-08-21T19:15:32
Seated Shoulder  Press (Barbell),2,8,235.0,2017-08-22,,,2017-08-22T20:19:36
Shoulder Press (Standing),2,8,95.0,2017-08-22,,,2017-08-22T20:19:36
Weighted dips,3,8,101.5,2017-08-22,,,2017-08-22T20:19:36
Leg press (hinge ),2,10,540.0,2017-08-25,,,2017-08-25T18:09:58
Squat (Barbell),2,6,315.0,2017-08-25,,,2017-08-25T18:09:58
Bent Over Row (Dumbbell),2,10,100.0,2017-08-26,,,2017-08-26T13:07:44
Bicep Curl (Barbell),3,8,100.0,2017-08-26,,,2017-08-26T13:07:44
Chin Up,4,9,55.0,2017-08-26,,,2017-08-26T13:07:44
Hammer seated row (CLOSE GRIP),2,10,210.0,2017-08-26,,,2017-08-26T13:07:44
Incline Bench Press (Barbell),2,8,225.0,2017-08-27,,,2017-08-27T18:48:13
Incline Press (Dumbbell),3,10,170.0,2017-08-27,,,2017-08-27T18:48:13
Weighted dips,1,10,0.0,2017-08-27,,,2017-08-27T18:48:13
Leg outward fly,3,12,160.0,2017-08-30,,,2017-08-30T19:34:41
Squat (Barbell),3,6,315.0,2017-08-30,,,2017-08-30T19:34:41
Chin Up,4,15,0.0,2017-08-31,,,2017-08-31T17:53:15
Hammer Curl (Dumbbell ),3,12,80.0,2017-08-31,,,2017-08-31T17:53:15
Hammer seated row (CLOSE GRIP),3,11,215.0,2017-08-31,,,2017-08-31T17:53:15
Seated Cable Row (close Grip),3,10,190.0,2017-08-31,,,2017-08-31T17:53:15
Bench Press (Barbell),2,8,225.0,2017-09-01,,,2017-09-01T18:24:39
Lateral Raise (Dumbbells),2,8,50.0,2017-09-01,,,2017-09-01T18:24:39
Seated Shoulder  Press (Barbell),2,6,235.0,2017-09-01,,,2017-09-01T18:24:39
Bent Over Row (Dumbbell),2,10,100.0,2017-09-03,,,2017-09-03T13:38:41
Chin Up,3,10,45.0,2017-09-03,,,2017-09-03T13:38:41
Hammer Curl (Dumbbell ),2,10,80.0,2017-09-03,,,2017-09-03T13:38:41
Lat Pulldown,1,8,190.0,2017-09-03,,,2017-09-03T13:38:41
Seated Cable Row (close Grip),2,10,160.0,2017-09-03,,,2017-09-03T13:38:41
Deadlift (Barbell),4,5,325.0,2017-09-04,,,2017-09-04T16:17:35
Good Morning (Barbell),6,12,100.0,2017-09-04,,,2017-09-04T16:17:35
Leg press (hinge ),4,9,510.0,2017-09-04,,,2017-09-04T16:17:35
Squat (Barbell),2,6,330.0,2017-09-04,,,2017-09-04T16:17:35
Front Raise (Dumbbell),2,12,25.0,2017-09-05,,,2017-09-05T20:52:32
Incline Bench Press (Barbell),3,8,230.0,2017-09-05,,,2017-09-05T20:52:32
Incline Press (Dumbbell),2,8,190.0,2017-09-05,,,2017-09-05T20:52:32
Tricep pushdown,2,10,160.0,2017-09-05,,,2017-09-05T20:52:32
Weighted dips,2,10,0.0,2017-09-05,,,2017-09-05T20:52:32
Bent Over Row (Dumbbell),2,10,100.0,2017-09-08,,,2017-09-08T18:09:53
Bicep Curl (Barbell),2,10,100.0,2017-09-08,,,2017-09-08T18:09:53
Chin Up,3,10,52.5,2017-09-08,,,2017-09-08T18:09:53
Hammer seated row (CLOSE GRIP),2,13,220.0,2017-09-08,,,2017-09-08T18:09:53
Deadlift - Trap Bar,2,6,325.0,2017-09-09,,,2017-09-09T11:57:53
Leg outward fly,2,12,160.0,2017-09-09,,,2017-09-09T11:57:53
Squat (Barbell),3,5,325.0,2017-09-09,,,2017-09-09T11:57:53
Bench Press (Barbell),2,6,250.0,2017-09-10,,,2017-09-10T17:59:56
Overhead Press (Dumbbell),1,12,130.0,2017-09-10,,,2017-09-10T17:59:56
Seated Shoulder  Press (Barbell),3,8,230.0,2017-09-10,,,2017-09-10T17:59:56
Shoulder Press (Standing),2,12,65.0,2017-09-10,,,2017-09-10T17:59:56
Bicep Curl (Barbell),3,12,90.0,2017-09-12,,,2017-09-12T20:17:20
Chin Up,2,9,55.0,2017-09-12,,,2017-09-12T20:17:20
Hammer Curl (Dumbbell ),1,12,60.0,2017-09-12,,,2017-09-12T20:17:20
Hammer seated row (CLOSE GRIP),3,12,230.0,2017-09-12,,,2017-09-12T20:17:20
Lat Pulldown,2,10,170.0,2017-09-12,,,2017-09-12T20:17:20
Deadlift (Barbell),1,5,315.0,2017-09-13,,,2017-09-13T20:38:36
Glute extension.,2,12,115.0,2017-09-13,,,2017-09-13T20:38:36
Good Morning (Barbell),2,12,100.0,2017-09-13,,,2017-09-13T20:38:36
Leg outward fly,2,12,140.0,2017-09-13,,,2017-09-13T20:38:36
Leg press (hinge ),2,12,520.0,2017-09-13,,,2017-09-13T20:38:36
Squat (Barbell),2,6,335.0,2017-09-13,,,2017-09-13T20:38:36
Bench Press (Barbell),2,8,185.0,2017-09-15,,,2017-09-15T00:13:35
Incline Bench Press (Barbell),3,8,235.0,2017-09-15,,,2017-09-15T00:13:35
Bicep Curl (Barbell),2,8,100.0,2017-09-16,,,2017-09-16T12:52:48
Chin Up,5,12,0.0,2017-09-16,,,2017-09-16T12:52:48
Hammer seated row (CLOSE GRIP),3,12,230.0,2017-09-16,,,2017-09-16T12:52:48
Seated Cable Row (close Grip),2,12,175.0,2017-09-16,,,2017-09-16T12:52:48
Squat (Barbell),2,5,185.0,2017-09-17,,,2017-09-17T14:07:44
Bench Press (Barbell),1,7,260.0,2017-09-18,,,2017-09-18T21:39:00
Seated Shoulder  Press (Barbell),3,7,235.0,2017-09-18,,,2017-09-18T21:39:00
Chin Up,4,10,55.0,2017-09-20,,,2017-09-20T19:46:03
Hammer seated row (CLOSE GRIP),5,12,230.0,2017-09-20,,,2017-09-20T19:46:03
Good Morning (Barbell),2,12,115.0,2017-09-22,,,2017-09-22T18:32:43
Leg curl,4,10,140.0,2017-09-22,,,2017-09-22T18:32:43
Squat (Barbell),4,5,325.0,2017-09-22,,,2017-09-22T18:32:43
Incline Bench Press (Barbell),2,7,240.0,2017-09-23,,,2017-09-23T12:26:10
Overhead Press (Barbell),1,10,195.0,2017-09-23,,,2017-09-23T12:26:10
Weighted dips,4,10,0.0,2017-09-23,,,2017-09-23T12:26:10
Bicep Curl (Barbell),3,11,100.0,2017-09-24,,,2017-09-24T13:35:45
Chin Up,3,10,37.5,2017-09-24,,,2017-09-24T13:35:45
Hammer Curl (Dumbbell ),2,13,70.0,2017-09-24,,,2017-09-24T13:35:45
Seated Cable Row (close Grip),2,10,190.0,2017-09-24,,,2017-09-24T13:35:45
Incline Bench Press (Barbell),2,8,235.0,2017-10-03,,,2017-10-03T20:21:54
Seated Shoulder  Press (Barbell),1,10,190.0,2017-10-03,,,2017-10-03T20:21:54
Bicep Curl (Barbell),3,12,70.0,2017-10-04,,,2017-10-04T19:13:58
Chin Up,3,10,55.0,2017-10-04,,,2017-10-04T19:13:58
Hammer Curl (Dumbbell ),3,12,80.0,2017-10-04,,,2017-10-04T19:13:58
Seated Cable Row (close Grip),2,10,190.0,2017-10-04,,,2017-10-04T19:13:58
Good Morning (Barbell),2,11,115.0,2017-10-05,,,2017-10-05T19:09:24
Squat (Barbell),2,5,330.0,2017-10-05,,,2017-10-05T19:09:24
Bench Press (Barbell),1,5,260.0,2017-10-07,,,2017-10-07T12:57:09
Lateral Raise (Dumbbells),2,15,40.0,2017-10-07,,,2017-10-07T12:57:09
Seated Shoulder  Press (Barbell),2,8,230.0,2017-10-07,,,2017-10-07T12:57:09
Bent Over Row (Dumbbell),2,10,100.0,2017-10-08,,,2017-10-08T13:12:58
Bicep Curl (Barbell),1,12,80.0,2017-10-08,,,2017-10-08T13:12:58
Chin Up,4,9,35.0,2017-10-08,,,2017-10-08T13:12:58
Hammer seated row (CLOSE GRIP),3,15,230.0,2017-10-08,,,2017-10-08T13:12:58
Good Morning (Barbell),2,11,115.0,2017-10-10,,,2017-10-10T19:18:13
Leg curl,2,15,120.0,2017-10-10,,,2017-10-10T19:18:13
Leg outward fly,3,15,150.0,2017-10-10,,,2017-10-10T19:18:13
Squat (Barbell),2,6,335.0,2017-10-10,,,2017-10-10T19:18:13
Bench Press (Barbell),2,6,265.0,2017-10-11,,,2017-10-11T21:26:28
Lateral Raise (Dumbbells),1,15,40.0,2017-10-11,,,2017-10-11T21:26:28
Seated Shoulder  Press (Barbell),2,8,230.0,2017-10-11,,,2017-10-11T21:26:28
Tricep pushdown,2,20,140.0,2017-10-11,,,2017-10-11T21:26:28
Bicep Curl (Barbell),2,12,90.0,2017-10-12,,,2017-10-12T21:59:19
Chin Up,3,7,60.0,2017-10-12,,,2017-10-12T21:59:19
Hammer Curl (Dumbbell ),1,15,70.0,2017-10-12,,,2017-10-12T21:59:19
Hammer seated row (CLOSE GRIP),2,9,240.0,2017-10-12,,,2017-10-12T21:59:19
Rear delt fly,1,10,110.0,2017-10-12,,,2017-10-12T21:59:19
Leg curl,1,12,130.0,2017-10-14,,,2017-10-14T10:28:15
Squat (Barbell),3,8,235.0,2017-10-14,,,2017-10-14T10:28:15
Incline Bench Press (Barbell),2,8,240.0,2017-10-15,,,2017-10-15T14:06:19
Incline Press (Dumbbell),2,12,170.0,2017-10-15,,,2017-10-15T14:06:19
Shoulder Press (Standing),1,8,110.0,2017-10-15,,,2017-10-15T14:06:19
Bicep Curl (Barbell),2,10,95.0,2017-10-16,,,2017-10-16T21:50:06
Chin Up,3,8,62.5,2017-10-16,,,2017-10-16T21:50:06
Hammer Curl (Dumbbell ),2,12,50.0,2017-10-16,,,2017-10-16T21:50:06
Hammer seated row (CLOSE GRIP),2,10,240.0,2017-10-16,,,2017-10-16T21:50:06
Leg curl,3,12,130.0,2017-10-18,,,2017-10-18T22:29:34
Leg press (hinge ),3,12,540.0,2017-10-18,,,2017-10-18T22:29:34
Squat (Barbell),1,5,345.0,2017-10-18,,,2017-10-18T22:29:34
Bench Press (Barbell),2,5,280.0,2017-10-19,,,2017-10-19T18:47:04
Seated Shoulder  Press (Barbell),6,7,235.0,2017-10-19,,,2017-10-19T18:47:04
Tricep pushdown,2,10,140.0,2017-10-19,,,2017-10-19T18:47:04
Bicep Curl (Barbell),3,8,95.0,2017-10-20,,,2017-10-20T19:45:59
Chin Up,4,5,75.0,2017-10-20,,,2017-10-20T19:45:59
Hammer seated row (CLOSE GRIP),3,12,240.0,2017-10-20,,,2017-10-20T19:45:59
Good Morning (Barbell),1,10,125.0,2017-10-22,,,2017-10-22T13:55:17
Leg outward fly,3,12,140.0,2017-10-22,,,2017-10-22T13:55:17
Leg press (hinge ),2,12,570.0,2017-10-22,,,2017-10-22T13:55:17
Squat (Barbell),2,6,315.0,2017-10-22,,,2017-10-22T13:55:17
Incline Bench Press (Barbell),1,5,250.0,2017-10-23,,,2017-10-23T18:57:50
Incline Press (Dumbbell),1,10,200.0,2017-10-23,,,2017-10-23T18:57:50
Overhead Press (Dumbbell),2,12,120.0,2017-10-23,,,2017-10-23T18:57:50
Bicep Curl (Barbell),1,10,70.0,2017-10-24,,,2017-10-24T18:22:02
Chin Up,3,5,77.5,2017-10-24,,,2017-10-24T18:22:02
Hammer Curl (Dumbbell ),3,12,80.0,2017-10-24,,,2017-10-24T18:22:02
Hammer seated row (CLOSE GRIP),3,10,245.0,2017-10-24,,,2017-10-24T18:22:02
Good Morning (Barbell),2,10,115.0,2017-10-26,,,2017-10-26T19:47:20
Leg outward fly,3,12,140.0,2017-10-26,,,2017-10-26T19:47:20
Squat (Barbell),3,5,245.0,2017-10-26,,,2017-10-26T19:47:20
Bench Press (Barbell),1,5,285.0,2017-10-27,,,2017-10-27T17:40:15
Lateral Raise (Dumbbells),3,12,50.0,2017-10-27,,,2017-10-27T17:40:15
Seated Shoulder  Press (Barbell),3,8,235.0,2017-10-27,,,2017-10-27T17:40:15
Tricep pushdown,3,20,130.0,2017-10-27,,,2017-10-27T17:40:15
Weighted dips,2,10,0.0,2017-10-27,,,2017-10-27T17:40:15
Chin Up,4,9,55.0,2017-10-28,,,2017-10-28T14:02:47
Hammer seated row (CLOSE GRIP),3,12,180.0,2017-10-28,,,2017-10-28T14:02:47
Incline Bench Press (Barbell),2,7,250.0,2017-10-31,,,2017-10-31T21:33:00
Incline Press (Dumbbell),3,9,200.0,2017-10-31,,,2017-10-31T21:33:00
Tricep pushdown,1,10,140.0,2017-10-31,,,2017-10-31T21:33:00
Leg curl,1,10,135.0,2017-11-01,,,2017-11-01T20:32:27
Leg outward fly,1,10,130.0,2017-11-01,,,2017-11-01T20:32:27
Leg press (hinge ),3,13,550.0,2017-11-01,,,2017-11-01T20:32:27
Squat (Barbell),2,5,335.0,2017-11-01,,,2017-11-01T20:32:27
Chin Up,3,5,80.0,2017-11-02,,,2017-11-02T18:39:23
Deadlift (Barbell),2,5,225.0,2017-11-02,,,2017-11-02T18:39:23
Hammer seated row (CLOSE GRIP),4,12,220.0,2017-11-02,,,2017-11-02T18:39:23
Leg curl,2,9,140.0,2017-11-05,,,2017-11-05T13:05:49
Leg press (hinge ),4,11,610.0,2017-11-05,,,2017-11-05T13:05:49
Squat (Barbell),2,5,345.0,2017-11-05,,,2017-11-05T13:05:49
Chin Up,4,10,57.5,2017-11-06,,,2017-11-06T18:43:57
Deadlift (Barbell),1,1,405.0,2017-11-06,,,2017-11-06T18:43:57
Hammer Curl,2,12,60.0,2017-11-06,,,2017-11-06T18:43:57
Hammer seated row (CLOSE GRIP),3,10,245.0,2017-11-06,,,2017-11-06T18:43:57
Lat Pulldown,2,8,150.0,2017-11-06,,,2017-11-06T18:43:57
Incline Bench Press (Barbell),2,8,247.5,2017-11-08,,,2017-11-08T21:20:47
Incline Press (Dumbbell),2,10,200.0,2017-11-08,,,2017-11-08T21:20:47
Lateral Raise (Dumbbells),4,15,30.0,2017-11-08,,,2017-11-08T21:20:47
Good Morning (Barbell),2,8,105.0,2017-11-09,,,2017-11-09T18:38:19
Leg curl,1,9,110.0,2017-11-09,,,2017-11-09T18:38:19
Leg press (hinge ),4,10,630.0,2017-11-09,,,2017-11-09T18:38:19
Squat (Barbell),1,5,365.0,2017-11-09,,,2017-11-09T18:38:19
Bicep Curl (barbell ),2,9,100.0,2017-11-10,,,2017-11-10T20:18:54
Chin Up,3,10,60.0,2017-11-10,,,2017-11-10T20:18:54
Hammer seated row (CLOSE GRIP),2,10,250.0,2017-11-10,,,2017-11-10T20:18:54
Bench Press (Barbell),6,5,290.0,2017-11-12,,,2017-11-12T17:55:28
Lateral Raise (Dumbbells),6,12,40.0,2017-11-12,,,2017-11-12T17:55:28
Overhead Press (Dumbbell),2,10,150.0,2017-11-12,,,2017-11-12T17:55:28
Seated Shoulder  Press (Barbell),6,8,240.0,2017-11-12,,,2017-11-12T17:55:28
Leg curl,3,9,130.0,2017-11-13,,,2017-11-13T19:51:24
Romanian Deadlift (Barbell),2,6,215.0,2017-11-13,,,2017-11-13T19:51:24
Squat (Barbell),2,5,365.0,2017-11-13,,,2017-11-13T19:51:24
Chin Up,5,9,62.5,2017-11-14,,,2017-11-14T22:32:35
Hammer Curl,2,10,70.0,2017-11-14,,,2017-11-14T22:32:35
Hammer seated row (CLOSE GRIP),4,10,252.5,2017-11-14,,,2017-11-14T22:32:35
Incline Bench Press (Barbell),3,8,250.0,2017-11-16,,,2017-11-16T21:17:53
Incline Press (Dumbbell),3,8,210.0,2017-11-16,,,2017-11-16T21:17:53
Tricep pushdown,1,12,100.0,2017-11-16,,,2017-11-16T21:17:53
Leg curl,2,10,120.0,2017-11-18,,,2017-11-18T18:40:39
Leg outward fly,2,12,130.0,2017-11-18,,,2017-11-18T18:40:39
Leg press (hinge ),2,8,680.0,2017-11-18,,,2017-11-18T18:40:39
Squat (Barbell),1,5,380.0,2017-11-18,,,2017-11-18T18:40:39
Bicep Curl (barbell ),2,10,75.0,2017-11-19,,,2017-11-19T15:24:57
Chin Up,4,8,65.0,2017-11-19,,,2017-11-19T15:24:57
Hammer seated row (CLOSE GRIP),3,10,250.0,2017-11-19,,,2017-11-19T15:24:57
Bench Press (Barbell),2,5,295.0,2017-11-20,,,2017-11-20T20:13:37
Incline Press (Dumbbell),3,11,160.0,2017-11-20,,,2017-11-20T20:13:37
Seated Shoulder  Press (Barbell),2,6,240.0,2017-11-20,,,2017-11-20T20:13:37
